News Outlet,Date,Compound,Positive,Neutral,Negative,Tweet Count,Tweet Text
@BBCNews,Tue Apr 03 01:36:13 +0000 2018,0.0,0.0,1.0,0.0,1,Corbyn 'irresponsible' for attending left wing Jewish event https://t.co/GVvt8Svs01
@BBCNews,Tue Apr 03 01:24:10 +0000 2018,0.0,0.0,1.0,0.0,2,"Tottenham shooting: Girl, 17, dies from gunshot wound https://t.co/yBqpNMY4iD"
@BBCNews,Tue Apr 03 00:31:28 +0000 2018,0.0,0.0,1.0,0.0,3,UK passports: Firm appeals move to make them in France https://t.co/TnuxN6YaeM
@BBCNews,Mon Apr 02 23:55:11 +0000 2018,0.4588,0.273,0.727,0.0,4,Bafta TV Awards: 'Must see moment' nominees revealed https://t.co/4Q0hodRzPy
@BBCNews,Mon Apr 02 23:43:30 +0000 2018,-0.5574,0.0,0.735,0.265,5,"UK ivory ban among 'toughest' in the world, says Gove https://t.co/zs3TZKrB1d"
@BBCNews,Mon Apr 02 23:10:50 +0000 2018,-0.6597,0.0,0.645,0.355,6,'One-stop shops' set to speed up cancer diagnosis https://t.co/MFhvaEqcKf
@BBCNews,Mon Apr 02 19:24:03 +0000 2018,-0.2023,0.0,0.682,0.318,7,Calor gas shortages leave customers without heating https://t.co/Hs2nF3uNbg
@BBCNews,Mon Apr 02 18:32:40 +0000 2018,0.296,0.268,0.732,0.0,8,Momentum admits Labour 'failure' over anti-Semitism https://t.co/O5zEjqutYL
@BBCNews,Mon Apr 02 18:07:37 +0000 2018,-0.7906,0.0,0.5,0.5,9,Met Police investigated over death of arrested man https://t.co/t7pRlNJ8sx
@BBCNews,Mon Apr 02 17:01:01 +0000 2018,0.6369,0.174,0.826,0.0,10,RT @BBC_HaveYourSay: Have you ever had to choose between the love of your life and your favourite sports team? #harryandmeghan's #RoyalWedd…
@BBCNews,Mon Apr 02 16:38:56 +0000 2018,-0.6133,0.0,0.643,0.357,11,AI 'poses less risk to jobs than feared' says OECD https://t.co/7CS3sn6n1I
@BBCNews,Mon Apr 02 15:42:44 +0000 2018,-0.6597,0.0,0.803,0.197,12,"RT @BBCSteveR: Russia's Foreign Minister Sergei Lavrov tells me why current tension between Moscow &amp; the West ""is worse now than in the old…"
@BBCNews,Mon Apr 02 15:33:53 +0000 2018,0.4019,0.231,0.769,0.0,13,"Snow, rain and floods make bank holiday travels a trial https://t.co/NV1ymrEg8s"
@BBCNews,Mon Apr 02 15:33:53 +0000 2018,-0.7717,0.102,0.408,0.49,14,Probe launched into Wrexham's HMP Berwyn prison death https://t.co/gkFDZehazt
@BBCNews,Mon Apr 02 14:21:53 +0000 2018,0.0,0.0,1.0,0.0,15,Nazanin Zaghari-Ratcliffe's husband 'disappointed' with Boris Johnson https://t.co/tZvEhUbyFk
@BBCNews,Mon Apr 02 14:07:27 +0000 2018,-0.4019,0.0,0.722,0.278,16,Swanage sea wall car crash pedestrian dies https://t.co/DWriuVxHbl
@BBCNews,Mon Apr 02 14:05:54 +0000 2018,-0.5574,0.0,0.816,0.184,17,"RT @BBCBreaking: South African anti-apartheid campaigner Winnie Mandela has died aged 81, her personal assistant says https://t.co/krdVvFLY…"
@BBCNews,Mon Apr 02 13:59:33 +0000 2018,-0.34,0.0,0.789,0.211,18,Russian spy: Sergei Lavrov accuses West of 'children's games' https://t.co/MQX5K9gCd0
@BBCNews,Mon Apr 02 13:43:37 +0000 2018,0.3818,0.153,0.847,0.0,19,"RT @BBCRosAtkins: Back in Jan 2017, my show Outside Source decided to try a self-monitoring system to increase our number of women contribu…"
@BBCNews,Mon Apr 02 13:36:53 +0000 2018,0.34,0.139,0.861,0.0,20,RT @BBCRosAtkins: This is a video the BBC’s made to show how a self-monitoring system we introduced on @BBCOS has increased the number of w…
@BBCNews,Mon Apr 02 11:41:54 +0000 2018,0.0,0.0,1.0,0.0,21,Men in court over £1.3m Dromore drugs haul https://t.co/QbO24Ovddz
@BBCNews,Mon Apr 02 10:42:04 +0000 2018,0.0,0.0,1.0,0.0,22,Alan Pardew: West Bromwich Albion part company with manager https://t.co/Tr0fshEmqo
@BBCNews,Mon Apr 02 09:59:14 +0000 2018,-0.4019,0.0,0.769,0.231,23,'More than half' of UK households face broadband problems https://t.co/muaUtmMWMO
@BBCNews,Mon Apr 02 09:10:14 +0000 2018,-0.4019,0.115,0.619,0.265,24,Soldier dies in 'tragic diving incident' near Chepstow https://t.co/J2V3QgQt9z
@BBCNews,Mon Apr 02 08:26:02 +0000 2018,-0.3612,0.0,0.898,0.102,25,"RT @bbcweather: 4cm of #snow has already fallen in Bingley, W Yorkshire, 3cm in Leek, Staffordshire, 2cm in Aviemore, Highland and 1cm in N…"
@BBCNews,Mon Apr 02 07:58:03 +0000 2018,-0.4019,0.068,0.757,0.175,26,"RT @BBCr4today: Doctors have warned that winter pressures on hospitals in England are likely to extend into the summer. Dr Chaand Nagpaul,…"
@BBCNews,Mon Apr 02 07:28:08 +0000 2018,-0.8779,0.0,0.409,0.591,27,Two dead and one arrested after 'wrong-way' M62 crash https://t.co/KqmsR1PiID
@BBCNews,Mon Apr 02 07:06:06 +0000 2018,-0.7506,0.054,0.667,0.279,28,RT @BBCWiltshire: A Wiltshire soldier's died in a diving accident during an army training course - Lance Corporal George Partridge was with…
@BBCNews,Mon Apr 02 02:51:34 +0000 2018,0.0,0.0,1.0,0.0,29,Director of public prosecutions Alison Saunders to stand down https://t.co/1NydzCaUGr
@BBCNews,Mon Apr 02 00:57:57 +0000 2018,0.0,0.0,1.0,0.0,30,BBC wants gender balance of contributors by April 2019 https://t.co/aJAtycp02S
@BBCNews,Mon Apr 02 00:24:30 +0000 2018,0.0,0.0,1.0,0.0,31,Mission to demonstrate space junk tech https://t.co/8EyoySAntr
@BBCNews,Mon Apr 02 00:12:03 +0000 2018,-0.5106,0.0,0.769,0.231,32,Child poverty: Pale and hungry pupils 'fill pockets with school food' https://t.co/KKviJi7FuJ
@BBCNews,Sun Apr 01 23:37:32 +0000 2018,-0.1531,0.0,0.833,0.167,33,Aggressive bailiff behaviour remains 'lingering concern' - MoJ review https://t.co/vxUXd5dOxU
@BBCNews,Sun Apr 01 23:32:44 +0000 2018,0.0,0.0,1.0,0.0,34,UK winemakers toast record year https://t.co/M85g0Cc1mN
@BBCNews,Sun Apr 01 21:51:54 +0000 2018,-0.3182,0.0,0.796,0.204,35,Silsden gas loss: Thousands face third day without supplies https://t.co/BR0ru9BvBh
@BBCNews,Sun Apr 01 19:26:52 +0000 2018,-0.4767,0.0,0.693,0.307,36,Broken neck girl begins to walk again https://t.co/As2pxfUom6
@BBCNews,Sun Apr 01 19:15:00 +0000 2018,-0.6908,0.0,0.561,0.439,37,London murder rate overtakes New York's https://t.co/JLyng8LWhO
@BBCNews,Sun Apr 01 16:30:13 +0000 2018,-0.8316,0.0,0.63,0.37,38,"RT @BBCSteveR: UK-Russia war of words over Salisbury:

🇬🇧 about 🇷🇺
reckless, despicable, culpable, malign, aggression, flagrant, barbaric,…"
@BBCNews,Sun Apr 01 16:23:44 +0000 2018,0.0,0.0,1.0,0.0,39,Eddie Izzard calls for Labour to 'stamp out' anti-Semitism https://t.co/vnZHIRCgKt
@BBCNews,Sun Apr 01 15:36:01 +0000 2018,0.0,0.0,1.0,0.0,40,"😆😂🤣

https://t.co/qjCDvEa0BI"
@BBCNews,Sun Apr 01 15:32:21 +0000 2018,0.0,0.0,1.0,0.0,41,Two unaccounted for after Knock house blaze https://t.co/T6zIznpzGZ
@BBCNews,Sun Apr 01 15:09:21 +0000 2018,0.0,0.0,1.0,0.0,42,"The Queen, Prince William and Catherine have attended an Easter service at Windsor Castle

https://t.co/e9XSQsTtz0 https://t.co/9djlDBmqUP"
@BBCNews,Sun Apr 01 15:04:47 +0000 2018,-0.4939,0.0,0.873,0.127,43,RT @BBCSteveR: Why's Russian TV showing the inventor of the sandwich (the Earl of Sandwich) in a report on the Skripals? Anchor: blaming Ru…
@BBCNews,Sun Apr 01 13:42:11 +0000 2018,-0.34,0.0,0.789,0.211,44,Baby 'in cardiac arrest' at West Midland Safari Park https://t.co/RPgsXzxtEh
@BBCNews,Sun Apr 01 13:28:50 +0000 2018,-0.0772,0.12,0.747,0.133,45,"Did you get caught out on April Fools day?

@RogerJ_01 and @BabitaBBC did on @BBCBreakfast thanks to a newspaper re… https://t.co/XPejEoUgsY"
@BBCNews,Sun Apr 01 13:13:26 +0000 2018,0.0,0.0,1.0,0.0,46,Queen attends Easter service at Windsor without Prince Philip https://t.co/CIc7tydUZz
@BBCNews,Sun Apr 01 12:41:08 +0000 2018,0.0,0.0,1.0,0.0,47,"Three WW2 aircraft - a Spitfire T9, Spitfire Mk IX and a Hawker Hurricane X - fly over wartime airfield Biggin Hill… https://t.co/BYe6r7JrYu"
@BBCNews,Sun Apr 01 12:16:24 +0000 2018,0.0,0.0,1.0,0.0,48,RT @BBCWorld: Inside the armoured green train used by Kim Jong-un on his trip to China https://t.co/C7djAnrGEC
@BBCNews,Sun Apr 01 12:07:40 +0000 2018,0.0,0.0,1.0,0.0,49,"RT @BBCScotlandNews: Bottle return scheme ""should be UK-wide"" https://t.co/JYZtsOAQd7 https://t.co/idYxOPNPxJ"
@BBCNews,Sun Apr 01 10:30:22 +0000 2018,0.0,0.0,1.0,0.0,50,"RT @BBCWorld: See you later Alligator. 🐊 

https://t.co/hHMns7Dpwo https://t.co/f9TkLjsMot"
@BBCNews,Sun Apr 01 09:59:25 +0000 2018,0.0,0.0,1.0,0.0,51,RT @bbcweather: Last night saw the second (and final) #BlueMoon of 2018 and our #WeatherWatchers managed to find some breaks in the cloud t…
@BBCNews,Sun Apr 01 09:58:48 +0000 2018,0.0,0.0,1.0,0.0,52,"RT @BBCSport: It was a controlled performance from Anthony Joshua last night.

But Joseph Parker took him all the way.

Read👉https://t.co/u…"
@BBCNews,Sun Apr 01 09:52:39 +0000 2018,-0.2263,0.0,0.863,0.137,53,RT @BBCScotlandNews: The forgotten Scot who was the RAF's founding father https://t.co/GiGYlx9Nx3 https://t.co/PjGjY2MOhU
@BBCNews,Sun Apr 01 09:48:01 +0000 2018,-0.4767,0.0,0.659,0.341,54,Woman arrested after Edinburgh firearms incident https://t.co/Yby0jbo9QY
@BBCNews,Sun Apr 01 09:48:00 +0000 2018,-0.6705,0.0,0.667,0.333,55,Northern Ireland boy killed in Tenerife hit and run https://t.co/dQlwuVFmfa
@BBCNews,Sun Apr 01 09:35:26 +0000 2018,-0.8225,0.0,0.368,0.632,56,Man charged as Haringey murder victim named https://t.co/kkEvBzHilX
@BBCNews,Sun Apr 01 09:23:50 +0000 2018,0.7783,0.3,0.643,0.057,57,"PM uses Easter message to praise ""the triumph of the human spirit"" as she recalls people affected by last year's te… https://t.co/bf5fS2q5ql"
@BBCNews,Sun Apr 01 09:06:46 +0000 2018,-0.2023,0.202,0.526,0.272,58,"Northamptonshire suffering ""massive increase"" in gang activity https://t.co/IrfQZwJRrn"
